umap1,umap2,pc1,pc2
5.1529603,8.694418,1.6258819,4.4272337
7.814392,8.868486,0.30115592,3.6272922
1.4484972,6.7212358,0.7912338,-0.6673629
11.13845,3.6710186,-3.381102,0.27174652
2.5158265,9.165834,1.9831285,0.8920032
8.494496,6.4287214,-1.308707,2.3488426
9.087134,6.37817,-1.2034686,2.1005592
10.960017,3.882612,-2.521298,0.41048855
10.612352,6.573095,-1.1948535,1.035981
9.712138,7.601034,-0.62458235,2.4319897
3.2395203,8.083515,0.7022395,0.9644673
8.4336195,8.178047,-0.32641852,3.4969363
10.445253,2.0541608,-5.7821765,1.3149612
10.495395,3.5702887,-2.4719439,-1.297099
6.87183,2.9972332,-11.677293,-5.3876915
6.731267,8.341265,0.6244018,3.260551
11.0108385,4.83323,-1.774797,-0.43156004
10.153674,1.6456602,-5.410045,-0.7274331
4.8408136,8.0174675,-1.5104587,4.2778797
1.7889463,7.1359754,0.5771675,0.1818842
10.432532,-0.5159546,-8.249072,-2.5663543
9.296538,6.113196,-1.4131389,1.8894956
6.0135612,9.896021,0.46462277,3.928825
6.56117,9.541445,0.0082966685,2.7139254
10.304846,6.1691856,-1.125356,1.5669506
10.939567,1.5934361,-5.3498564,0.39615923
6.2276287,10.256153,0.575729,4.24324
6.916139,8.198304,-0.88996714,2.0533175
10.715101,3.4157958,-3.1088815,-0.5799099
10.741893,3.8275352,-3.8376842,-1.1531252
10.804619,0.52585673,-5.429241,-0.8924054
0.9308308,7.0409155,0.8789151,0.71052694
3.8147576,9.901645,0.20551944,1.9379267
-0.19581504,5.5921993,2.9942114,1.4345427
9.230456,6.3105965,-1.2282538,1.7812661
10.123208,-0.33788052,-8.2501335,-2.8585835
9.906365,7.274302,-1.2790213,2.3433204
11.034105,3.882278,-2.7020571,-0.33424854
4.8465743,2.2493985,-0.4416235,-8.147036
0.030357093,3.8225403,1.4855845,-0.46410447
5.1481457,3.0252354,-7.017344,-8.817504
10.309924,0.5307572,-6.821761,-3.367393
11.490703,2.3080206,-6.2842193,1.6749885
10.994855,3.266522,-2.9454274,-0.2267533
9.767189,6.1372976,-1.4569557,2.1468985
5.202182,3.328169,-4.8012524,7.175785
5.045813,2.9412684,-0.8265576,-0.64087033
2.192742,6.7462153,1.6504714,-1.0565692
8.198377,6.103218,-0.8727736,5.548034
4.787776,2.2752628,-5.672657,-8.189006
4.158264,8.714401,1.5731115,0.14817223
10.811352,0.18154523,-6.768193,-2.4248266
-0.4160809,1.3506225,3.222812,-1.7880155
-0.12880205,5.138603,2.615822,-1.3699832
10.749306,1.2307011,-5.274105,-1.3709246
-0.95449936,3.0210514,3.593583,-0.72335494
9.398616,5.855752,-1.6523881,2.060989
-1.5639833,1.5603746,2.9929113,-2.471909
10.859833,2.409721,-4.0781527,0.08168021
10.317986,0.30584094,-8.185099,-0.35832912
4.523792,9.7880535,0.33644822,2.955387
10.833892,0.21623339,-6.5043197,-2.20187
10.152794,3.9531887,-3.0514092,-1.8891245
-1.6095028,0.47480103,3.170443,-2.9300885
-1.0789446,3.0297964,3.5355105,-1.9481262
9.403447,5.436907,-1.7232425,1.2905661
10.34173,4.9643655,-3.3998146,1.4264028
5.884716,2.6072814,-3.882269,-3.4181447
5.6753573,8.662095,0.4181559,2.5684352
1.6865151,7.5182304,2.040686,0.36605823
0.039054032,3.1416638,3.5483344,-1.1058584
3.98095,8.493308,1.0100877,2.2169013
0.26102525,4.8577876,3.62464,0.44423702
5.8455186,3.635369,-0.778403,-1.1201702
-1.4971678,3.9319806,3.2929556,-1.6580476
10.3113985,3.9556742,-3.3928056,-0.3519184
11.180358,3.9102945,-2.5736988,0.19248912
0.19612686,6.038127,1.8353567,0.46058655
-1.124604,0.8760572,3.288828,-3.1877952
9.703122,5.4990134,-1.0427909,0.6780727
-0.9446318,2.0874507,2.7861629,-2.490448
-0.38651803,2.2769852,4.203166,-2.5426135
10.4145155,3.951386,-3.1890996,-0.12994874
5.1278257,9.815783,0.7692967,2.57686
5.1476874,8.75719,1.6071014,4.4266195
0.913335,7.102761,0.8349507,0.06328267
0.958768,1.963302,2.6769152,5.588493
-0.6895123,1.899311,4.1966186,-4.125602
