lat1,lat2,lat3,lat4,lat5,lat6,lat7,lat8
-4.5163093,-2.8981972,-0.94800824,3.044965,0.46030107,0.1552678,2.5732095,-0.2440138
-2.6861234,3.6050026,-2.8093412,-1.1936178,-2.6867833,-0.9271966,0.8170502,7.1631083
0.6244475,-2.3179252,-1.3114884,0.44574893,-0.93044794,0.394745,-0.43136117,-0.392634
-5.889203,-2.3306901,-1.3694351,5.197097,3.2457032,-2.9059772,1.1995356,1.1300724
-1.5298845,0.79035664,0.6626796,1.712229,-1.0001495,0.6575003,0.6262668,1.1281949
0.6383236,2.4290476,-2.3046687,1.1893715,1.194343,2.4951434,-1.0915792,-0.14842466
0.45397383,0.78606254,-1.176239,1.1636913,1.5570093,1.9431994,-1.2525965,1.2496854
-0.7026526,0.62128747,0.6244091,1.6461068,-0.1413791,0.40878892,0.6246762,1.9596698
-3.875121,-1.4489865,-0.96911234,3.9548821,0.825374,-0.71076024,-0.44753549,2.3605592
1.1457363,1.5668182,-2.3065119,1.210001,0.2219714,3.3040757,0.22669554,0.09263398
-1.4035904,1.5156385,-1.5939493,0.42280897,-0.10323003,0.45275185,0.75657266,0.80825853
-2.7111535,-1.8535874,-0.5632875,1.8773408,0.7967354,-0.17705107,1.2936997,0.0028295033
-2.7767193,-1.1141365,1.2433153,3.1425073,-0.35409743,-1.7987037,2.147731,1.156923
-3.9111462,-0.25912768,1.5659368,4.4790883,2.3317184,-2.0996878,-0.57821536,2.4726362
1.0030003,-1.023402,-1.1493982,0.24362421,-0.6448442,-0.032507688,-0.630596,1.0312784
-0.2539531,1.3998256,-1.6650062,-0.39029875,1.8544794,1.7014585,1.409806,-0.18733546
3.3869393,-0.18275005,0.018740326,-0.33346388,-1.8754927,-0.13510129,-0.47427323,2.8449817
-1.6969463,-0.91087496,1.3815042,1.7369895,-2.6493058,1.202925,0.07502072,0.8446772
-7.3674364,-1.6862315,0.0124064535,4.923413,2.562548,-3.178651,0.43821862,-0.52457404
-0.37192842,0.27520752,0.39003193,2.5667226,-1.1149651,1.0987196,0.32109115,1.7143656
-1.6675683,-0.6696905,0.67815703,2.50415,1.1527687,-0.9201753,0.5878782,1.7394774
0.34201297,2.384905,-4.5711355,-1.473399,6.6301503,-11.705738,1.0767757,0.35511586
1.0256662,0.07286234,2.2470477,0.90365756,-2.3480935,-2.6105638,-2.1701524,1.5996721
-3.0319467,-12.303094,-2.6960468,6.6313233,4.1513805,-6.11198,-7.5947933,-0.85812205
-5.8264966,-0.5880253,0.097331926,3.4993863,2.3522081,-3.5150664,4.411908,-0.8128327
-5.0603714,2.1394525,-1.7845604,4.5076985,4.9968095,0.43204436,-0.8221446,0.31741104
-2.0060136,-1.4908425,-1.0848961,2.5372262,0.03913234,-0.9231098,0.30212873,0.75020975
